コード,来期見通し要約
3600,"これにより次期の連結業績につきましては、売上高5,660百万円（前期比3.4％増）、営業損失187百万円（前期は222百万円の損失）、経常損失88百万円（前期は122百万円の損失）、親会社株主に帰属する当期純損失114百万円（前期は123百万円の損失）を予想しております。"
7034,"国内のビジネスコンサルティング市場におけるニーズは引き続き高く、当社に対してもデジタル、人材育成、オペレーション領域での引き合いが強く、今後も堅調に伸びることが予想されることから、翌連結会計年度（2026年10月期）のコンサルティング事業の業績見通しにつきましては、売上高5,256百万円、営業損失493百万円、親会社株主に帰属する当期純損失521百万円と予想しております。"
9885,次期は売上高は135億円（前年同期比4.4％増）、営業利益は1億40百万円、経常利益は1億80百万円、親会社株主に帰属する当期純利益は1億10百万円を予想しております。
3189,
1897,このような状況のもと、次期の業績につきましては、受注工事高115億円、売上高105億円、営業利益1億円、経常利益3億2千万円、親会社株主に帰属する当期純利益2億円を見込んでおります。
7297,"以上を踏まえ、次期の連結業績見通しとしましては、売上高15,380百万円(前年同期比5.6％増)、営業利益833百万円(前年同期比38.0％増)、経常利益886百万円(前年同期比35.7％増)、親会社株主に帰属する当期純利益569百万円(前年同期比102.7％増)となる見込みです。"
2484,こうした状況を踏まえ、2026年８月期の連結業績予想は、現時点で想定しうる範囲内において、売上高は441億円（前年比111％）（クーポン費用を売上高から減額しなかった場合の売上高489億円（前年比111％））、営業利益は△40億円を見込んでおります。
6513,次年度の当社グループの通期業績予想につきましては、売上高280億円、損益は営業利益2億円、経常利益5億5千万円、親会社株主に帰属する当期純利益は1億円を見込んでおります。
6771,次期は中東情勢をはじめとする地政学的リスクを注視する必要があるほか、金融資本市場の変動や米国の通商政策をめぐる動向による影響等にも引き続き留意が必要な状況です。
2055,次期は先行きの見えない外国為替相場に加え、不安定な国際情勢により引き続き厳しい状況であります。来期の業績は、売上高500億円、営業利益５億円、経常利益５億円、親会社株主に帰属する当期純利益３億円を見込んでおります。
8617,国内景気の先行きについては、雇用・所得環境の改善や各種政策の効果が緩やかな回復を支えることが期待されますが、中東情勢の影響を注視する必要があります。
6986,次期は緩やかな景気回復傾向が継続するものの、中東情勢の緊迫化をはじめとする地政学的リスクの高まりおよびそれに伴う各種コストの増加、米国の関税政策をめぐる動向など、企業を取り巻く事業環境は依然として先行き不透明な状況が続くものと考えられます。
5956,次期は国内経済は雇用・所得環境の改善や各種政策等により引き続き緩やかな回復基調にて推移すると見込まれるものの、米国の通商政策や不安定な国際情勢に伴う世界的な景気下振れや原材料・エネルギー価格の高騰、為替変動など、先行きは極めて不透明な状況が続くと想定されます。
7399,国際情勢の不安定化や金融政策の転換による先行き不透明感の中、物価上昇や需要の選別化が進み、今後とも収益を圧迫する状況は続くと思われます。
7427,
6943,次期は各国での物価上昇の継続に加え、米国における関税をはじめとする通商政策が世界経済に与える影響、ウクライナ情勢の長期化や中東情勢の緊迫化等の地政学リスク、中国の景気低迷の長期化懸念など、世界経済の不確実性が高まると見込んでおります。
5658,"次期は連結売上高35,000百万円、連結営業利益1,450百万円、連結経常利益2,000百万円、親会社株主に帰属する当期純利益1,200百万円を見込んでおります。"
2788,"当社グループを取り巻く事業環境は、国際情勢不安の長期化や海外経済の減速、資源価格の高騰等、国内外の経済環境は依然として先行き不透明な状況が続くものと思われます。につきましては、売上高35,856百万円、営業利益769百万円、経常利益930百万円、親会社株主に帰属する当期純利益615百万円を見込んでおります。"
8881,"国内経済は引き続き回復基調のまま推移することが見込まれます。こうした環境のもと、中期経営計画の最終年度となる2027年３月期の見通しにつきましては、連結売上高88,000百万円、営業利益6,000百万円、経常利益5,000百万円、親会社株主に帰属する当期純利益3,500百万円を見込んでいます。"
8917,次期は土地価格や建築資材価格等が高止まりし、金利も上昇傾向にある中、住宅の購入には慎重な姿勢が続いており、中低価格の戸建市場の回復はまだ時間を要するものと予想されます。
5900,次期以降の経営環境につきましては、中東情勢などの地政学的リスクの高まりや人手不足と人件費の上昇から、物価、物流費などの高止まりが続く中、円安傾向の為替相場や金利の上昇などの影響も相まって、引き続き調達コストにおいて厳しい環境が見込まれます。
7879,"次期の連結業績見通し（2026年11月期）当連結会計年度の通期連結業績（2025年11月期）増減額増減率65,000百万円64,686百万円＋313百万円＋0.5％600 500 200△47△29△829＋647＋529＋1,029―――売上高営業利益経常利益親会社株主に帰属する当期純利益（５）利益配分に関する基本方針及び当期・次期の配当当社の利益配分に関する基本方針は、業績の状況及び配当と内部留保のバランスに配慮しながら、配当の安定性を確保するとともに、株主の皆様への利益還元を行うことです。"
5921,"第１次中期経営計画の最終年度となる来期の完成工事高22,000百万円、営業利益1,000百万円、経常利益1,150百万円、当期純利益800百万円を見込んでおります。"
6222,今後の世界経済見通しにつきましては、緩やかな景気回復傾向にあるものの、中東情勢の緊迫化による地政学リスクの高まりなど先行きは不透明な状況が継続すると思われます。
5753,前提よりも相場価格が上昇した場合は、販売数量が計画通りであっても売上高は増加し、また、相場差益が発生するため営業利益が計画よりも増加する一方、相場変動リスクを打ち消すための、デリバティブ取引によるデリバティブ損失を営業外費用として計上することになります。
5962,次期は引き続きインバウンド需要や雇用・所得環境の改善により、景気は緩やかながらも回復基調が続くことが期待されるものの、原材料やエネルギー価格の高止まりによる仕入価格の上昇や為替変動の他、地政学的リスクの長期化や国際情勢の不安定化等、見通しは依然として不透明な状況が続くものと見込まれます。
8013,次期は雇用・所得環境の改善が期待される一方で、物価上昇の継続、為替変動、海外経済の不確実性に加え、中東情勢の動向によるエネルギー価格や物流コストへの影響などが懸念される状況にあります。
8746,当社グループの業績は、金融市場の動向に大きな影響を受け、適正な業績予想を行うことが非常に難しいことから、連結業績予想の開示は控えさせていただいております。
6390,そのような状況下、市場全般における建設機械需要の急激な増加は見込めないものの、当社が足元で開発を進めていた新型油圧ショベルシリーズの国内市場への投入、インド事業の操業開始に加え、近年低迷していた米国市場の需要回復が相応に期待できることから、売上高は前期比8.3％増となる610億円を見込んでおります。
8040,次期は雇用・所得の改善が進む中、景気は緩やかに回復していくことが期待されます。次期の業績につきましては、売上高162億円、営業利益3億50百万円、経常利益4億50百万円、親会社株主に帰属する当期純利益3億50百万円を見込んでおります。
8138,次期の業績予想につきましては、売上高280億円（前年同期比2.9％増）、営業利益５億２千８百万円（前年同期比2.9％増）、経常利益６億８百万円（前年同期比3.3％減）、親会社株主に帰属する当期純利益３億９千１百万円（前年同期比48.0％減）を見込んでおります。
6249,"以上により今期の連結業績の見通しにつきましては、売上高21,000百万円（前年同期比17.3％減）、営業利益3,000百万円（同33.8％減）、経常利益3,500百万円（同31.2％減）、親会社株主に帰属する当期純利益2,400百万円（同26.4％減）を見込んでおります。"
