コード,見通し原文
3600,"今後の見通しにつきましては、今般の中東情勢の緊迫化による原油供給懸念と価格高騰が、わが国はもちろん、世界 を大きく揺るがしており、当社グループにおきましても、少なくとも原材料・資材価格などのさらなる上昇が懸念され るほか、アパレル・ファッション業界や手芸関連業界におきましても、物価全般の上昇による節約志向の浸透で、さら なる消費減退が懸念されるなど、需要予測を含めて先行きの見通しは極めて不透明です。 このように当社グループの経営環境の悪化懸念は拭えませんが、当社グループといたしましては、損失の縮小を喫緊 の課題として、引き続き抜本的な事業コストの見直しを始めとする経営改善策に取り組むとともに、将来の再成長を見 据えた中長期の課題にも取り組んでまいります。 これにより次期の連結業績につきましては、売上高5,660百万円（前期比3.4％増）、営業損失187百万円（前期は222 百万円の損失）、経常損失88百万円（前期は122百万円の損失）、親会社株主に帰属する当期純損失114百万円（前期は 123百万円の損失）を予想しております。 3 株式会社フジックス(3600) 2026年３月期 決算短信 ２．企業集団の状況 当社グループは、当社及び連結子会社10社（株式会社FTC、株式会社シオン、株式会社ニットマテリアル、上海富士克 制線有限公司、上海新富士克制線有限公司、富士克國際（香港）有限公司、上海福拓線貿易有限公司、常州英富紡織有 限公司"
7034,"今後の見通し 国内のビジネスコンサルティング市場におけるニーズは引き続き高く、当社に対してもデジタル、人材育成、オペレーション領域での引き合いが強く、今後も堅調に伸びることが予想されることから、翌連結会計年度（2026年10月期）のコンサルティング事業の業績見通しにつきましては、売上高5,256百万円、営業損失493百万円、親会社株主に帰属する当期純損失521百万円と予想しております。 一方、ファンド事業は、当社グループが出資している投資事業有限責任組合の運用による損益について、発生時期および金額の合理的な予測が困難であります。以上により2026年10月期の連結業績予想は、開示しておりません。 また、上記の業績予想は本資料の発表日現在において入手可能な情報に基づき作成したものであり、実際の業績は、今後様々な要因によって予想数値と異なる結果となる可能性があります。 株式会社プロレド・パートナーズ（7034） 2025年10月期決算短信 - 4 - ２．会計基準の選択に関する基本的な考え方当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財 務諸表を作成する方針であります。 なお、IFRS（国際財務報告基準）の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針で あります。 株式会社プロレド・パートナーズ（7034） 2025年10月期決算短信 - 5 - （単位：千円）前連結会計年度(2024年10月31日"
9885,業績見通しにつきましては、売上高は135億円（前年同期比4.4％増）、営業利益は1億40百万円、経常利益は1億80百万円、親会社株主に帰属する当期純利益は1億10百万円を予想しております。なお、上記の業績予想は本資料の発表日現在において入手可能な情報に基づき作成したものであり、実際の業績は、今後様々な要因によって予想数値と異なる結果となる可能性があります。（５）継続企業の前提に関する重要事象等当社グループは、前連結会計年度において営業損失9億61百万円、親会社株主に帰属する当期純損失10億12百万円となり、当連結会計年度において営業損失11億15百万円、親会社株主に帰属する当期純損失35億44百万円となっていることから、継続的な営業損失が発生しており、継続企業の前提に重要な疑義を生じさせるような事象または状況が存在しているものと認識しております。当社グループは、継続企業の前提にかかる重要な疑義を解消するための対応策として、以下の対策に取り組むことで、事業面及び財政面での安定化、持続的な収支の改善を図り、当該状況の解消・改善に努めてまいります。・商品ポートフォリオの見直し高粗利商材の売上構成比の拡大、低利益商材の改廃、グループ会社との協働開発商品の発売・仕入コストリダクション新たな仕入先や生産国の探索などを踏まえ、商品調達方法の見直しの実施・在庫ロスの軽減マーケティング・プロモーションの強化、需要予測精度の向上・顧客サービスの最適化受発注システムの統廃合を含むサービスの見直し・デジ
3189,業績見通し等の将来に関する記述は、当社が現在入手している情報及び合理的であると判断する一定の前提に基づいており、その達成を当社として約束する趣旨のものではありません。また、実際の業績等は様々な要因により大きく異なる可能性があります。業績予想の前提となる条件及び業績予想のご利用に当たっての注意事項等については、添付資料Ｐ.４「１.経営成績等の概況（４）連結業績予想などの将来予測情報に関する説明」をご覧ください。 株式会社ＡＮＡＰホールディングス(3189) 2026年８月期 第２四半期（中間期）決算短信 ○添付資料の目次 １．経営成績等の概況 ………………………………………………………………………………………………２ （１）当中間期の経営成績の概況 ………………………………………………………………………………２ （２）当中間期の財政状態の概況 ………………………………………………………………………………３ （３）当中間期のキャッシュ・フローの概況 …………………………………………………………………４ （４）連結業績予想などの将来予測情報に関する説明 ………………………………………………………４ ２．中間連結財務諸表及び主な注記 ………………………………………………………………………………５ （１）中間連結貸借対照表 ………………………………………………………………………………………５ （２）中間連結損益計算書及び中間連結包括利益計算書 ……………………………………
1897,今後の見通し 建設業界におきましては、公共投資、民間設備投資は前期並みに推移するものと予想されますが、依然として受注競争の激化が予想されることに加え、建設資材価格の高止まりや慢性的な技術者・技能労働者不足等による建設コストの上昇が懸念される等、引き続き厳しい状況が続くものと予想されます。 このような状況のもと、次期の業績につきましては、受注工事高115億円、売上高105億円、営業利益1億円、経常利益3億2千万円、親会社株主に帰属する当期純利益2億円を見込んでおります。(5）利益配分に関する基本方針及び当期・次期の配当 利益配分につきましては、今後の事業展開に必要な内部留保を勘案しつつ、株主に対する利益還元を重要視し、安定した配当の継続を基本方針としております。 当社における剰余金の配当は、年１回期末配当を行うこととしており、配当の決定機関は株主総会であります。 内部留保資金につきましては、中長期的な視野に立って経営環境の変化等への対応に備えるとともに、今後の事業展開に有効に活用してまいります。 この方針のもと、当期の配当金は、１株当たり50円の配当を予定しております。 また、次期の配当金につきましては、１株当たり50円の配当を予定しております。 金下建設㈱ (1897) 2025年12月期 決算短信 - 4 - ２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、日本基準で連結財務諸表を作成しております。 なお
7297,"今後の見通し 今後の経済情勢につきましては、国内では雇用・所得環境の改善等により、景気は緩やかながらも回復基調で推移 することが期待されます。その一方で、不安定な国際情勢下、資源・エネルギー価格や原材料価格の高止まりや為替 変動リスクなど、依然として先行き不透明な状況が続くものと予想されます。 このような情勢下において当社グループは、かねてより課題と認識していた新製品・新サービスの市場導入強化、 安全・安心なモノづくり、サステナビリティの強化、海外市場への積極的な展開による輸出の増加、新規チャネル・ 新規顧客の開拓、新ビジネスモデルへの取り組みを継続してまいります。 以上を踏まえ、次期の連結業績見通しとしましては、売上高15,380百万円(前年同期比5.6％増)、営業利益833百万 円(前年同期比38.0％増)、経常利益886百万円(前年同期比35.7％増)、親会社株主に帰属する当期純利益569百万円(前 年同期比102.7％増)となる見込みです。 ２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は日本基準で連結財務諸 表を作成する方針であります。 なお、国際財務報告基準(ＩＦＲＳ)の適用時期等につきましては、国内外の諸情勢を考慮の上、適切に対応してい く方針であります。 3 ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受"
2484,今後の見通し 2026年８月期の見通しにつきましては、引き続き「出前館事業」の拡大を通じて「デリバリーの日常化」を押 し進めてまいります。出前館のステークホルダーであるユーザー・加盟店・配達員、それぞれのデリバリー体験 が向上するためのプロダクトやサービスの改修に注力すると共に、費用の適正化を図って収益面の改善も進めて まいります。 こうした状況を踏まえ、2026年８月期の連結業績予想は、現時点で想定しうる範囲内において、売上高は441億 円（前年比111％）（クーポン費用を売上高から減額しなかった場合の売上高489億円（前年比111％））、営業利 益は△40億円を見込んでおります。 記載した予想数値は、現時点で入手可能な情報に基づいており、実際の業績等は様々な不確定要素により大き く異なる可能性があります。 3 株式会社出前館(2484) 2025年８月期 決算短信 （５）利益配分に関する基本方針及び当期・次期の配当 当社は、積極的な事業展開のもと、経営基盤の強化、経営効率の改善を図ることにより企業価値を高め、株主 の皆様に対して継続的かつ安定的に利益還元を図ることを基本方針としております。将来に向けた積極的な投資 を行いつつも、配当性向は30％を目安とし、安定的に継続して実施することを目指しております。 当社の剰余金の配当は、年１回の期末配当を基本的な方針としております。なお、会社の業績に応じた株主の 皆様への利益還元を柔軟に実施するため、
6513,"今後の見通し 次期につきましては、中東情勢をはじめとする地政学リスクの高まり等による資源・エネルギーおよび原材料の更なる価格高騰や供給制約の懸念、米国の通商政策の動向、中国経済の停滞等、引き続き不透明な状況が続くものと思われます。 次年度の当社グループの通期業績予想につきましては、売上高280億円、損益は営業利益2億円、経常利益5億5千万円、親会社株主に帰属する当期純利益は1億円を見込んでおります。 （注）業績見通し等は、現時点で入手可能な情報及び合理的と判断した前提に基づいて作成しておりますが、世界経済の動向、新製品の導入及びその成否、時価会計による影響等、多くの不確定な要因を含むことから、実際の業績はこれと異なることが充分あり得ることをご承知おき下さい。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、日本基準を適用しております。 なお、IFRS(国際財務報告基準)の適用につきましては、国内外の諸情勢を考慮の上、適切に対応をしていく方針であります。 株式会社オリジン（6513）2026年3月期 決算短信 - 5 - （単位：百万円）前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金6,7606,685受取手形、売掛金及び契約資産7,3366,157電子記録債権2,5152,516商品及び製品1,7651,684仕掛品3,6333,429原材料及び貯蔵品"
6771,今後の見通しにつきましては、中東情勢をはじめとする地政学的リスクを注視する必要があるほか、金融資本市場 の変動や米国の通商政策をめぐる動向による影響等にも引き続き留意が必要な状況です。 当社グループを取り巻く事業環境としましては、中東情勢の緊迫化等の地政学的リスクに伴う原材料価格の高騰や 供給制限による調達への影響等が想定されます。また、客先の設備投資計画の一巡を背景に、当期は大型案件の計上 が限定的となるものの、来期以降は更新案件等の具体化を見込んでおります。 こうした事業環境のもと、放送システム事業におきましては、新技術の獲得・活用を通じ、次世代の放送を見据え たIPやクラウド、AIの活用による高度なトータルシステムソリューションの提案力を強化していきます。また、IPエ クステンションユニット「IPX-100」および4K/HDマルチパーパスカメラ「UHL-X40」の販売促進により、国内外の放送 局市場のほか、非放送局市場におけるシェア拡大も目指していきます。 産業システム事業におきましては、メディカル事業において、引き続き海外を中心とした内視鏡および顕微鏡用カ メラのOEMビジネス拡大や新規OEM顧客の獲得に取り組むとともに、昨年参入した新規分野における成長に向けた取り 組みを推進していきます。 セキュリティー事業では、防衛省をはじめとする官公庁や鉄道、プラント市場等の公共性の高い市場を最注力領域 と位置づけ、売上規模の拡大を図ってい
2055,今後の見通しにつきましては、先行きの見えない外国為替相場に加え、不安定な国際情勢により引き続き厳しい 状況であります。このような状況のもとで、当社グループといたしましては、業績の向上を目指し、生産コスト削 減への注力や多様な人材確保及び育成、家畜疾病の予防に努めて参ります。 来期の業績は、売上高500億円、営業利益５億円、経常利益５億円、親会社株主に帰属する当期純利益３億円を見 込んでおります。 利益配分に関しましては、長期にわたっての財務体質と経営基盤の強化をはかり、継続的に安定した配当を行う ことを基本方針としております。 当期の配当金につきましては、１株当たり６円を予定しております。 また、来期の配当金につきましても当期と同じく、１株当たり期末６円を予定しております。 ２．会計基準の選択に関する基本的な考え方 当社グループの業務は、現在日本国内を主としており、当面は日本基準に基づき連結財務諸表を作成する方針であ ります。 ― 3 ― ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形 電子記録債権 売掛金 商品及び製品 仕掛品 原材料及び貯蔵品 その他 貸倒引当金 流動資産合計 固定資産 有形固定資産 建物及び構築物 減価償却累計額 建物及び構築物（純額） 機械装置及び運搬具 減価償却累計額 機械装置及び運搬具（純額） 工具、器具及び備品 減
